entity_cd,entity_name,year,district_cd,district_name,county_cd,county_name,num_teach,teach_oc,teach_inexp,needs_index,pupil_count,expenditures,overall_status,cccr_level,ela,social_studies,science,math,combined_test,grad_rate_6,grad_rate_5,grad_rate_4,grad_rate_combined
020702040001,GENESEE VALLEY CENTRAL SCHOOL,2019,02070204,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,02,ALLEGANY,55,1.09090909090909,0.145454545454545,4,506,16145,Good Standing,4,226.5,242.6,225,152.9,203.4,88.6,90.9,91.5,92.5
020801040001,BELFAST SCHOOL,2019,02080104,BELFAST CENTRAL SCHOOL DISTRICT,02,ALLEGANY,37,1.13513513513514,0.189189189189189,4,336,16562,Good Standing,4,180.8,214.1,217.9,138.5,178.6,91.7,90.2,90.7,88.1
021102040001,CANASERAGA SCHOOL,2019,02110204,CANASERAGA CENTRAL SCHOOL DISTRICT,02,ALLEGANY,26,1.15384615384615,0.153846153846154,4,238,15174,Good Standing,4,192.4,225.8,200,136.4,179.1,84.8,85.5,81.3,90.5
021601040004,FRIENDSHIP CENTRAL SCHOOL,2019,02160104,FRIENDSHIP CENTRAL SCHOOL DISTRICT,02,ALLEGANY,31,1.29032258064516,0.258064516129032,4,314,8328,Good Standing,4,204.8,227.4,226.2,120.2,183.9,90.7,89.4,88.9,88.5
022001040001,FILLMORE CENTRAL SCHOOL,2019,02200104,FILLMORE CENTRAL SCHOOL DISTRICT,02,ALLEGANY,59,1,0.0847457627118644,4,682,11751,Good Standing,4,189.1,218.5,212,158.7,187.3,97.7,97.5,97.5,97.2
022101040001,WHITESVILLE CENTRAL SCHOOL,2019,02210104,WHITESVILLE CENTRAL SCHOOL DISTRICT,02,ALLEGANY,23,0.739130434782609,0.434782608695652,4,196,17113,Good Standing,4,198.3,226.7,221.7,141.7,187.8,95.1,96.1,95.8,97.4
022302040001,CUBA-RUSHFORD HIGH SCHOOL,2019,02230204,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,02,ALLEGANY,31,0.516129032258065,0.290322580645161,4,259,13296,Good Standing,4,180.8,225.4,212.3,160.8,186.1,89.4,89.7,89.7,90.1
022401040003,SCIO CENTRAL SCHOOL,2019,02240104,SCIO CENTRAL SCHOOL DISTRICT,02,ALLEGANY,34,1.08823529411765,0.117647058823529,4,334,17493,Good Standing,3,176.6,239.4,218.1,122.3,174.7,100,98,97.9,96.1
022601060004,WELLSVILLE SENIOR HIGH SCHOOL,2019,02260106,WELLSVILLE CENTRAL SCHOOL DISTRICT,02,ALLEGANY,60,0.883333333333333,0.116666666666667,4,659,13763,Good Standing,1,187.4,234.6,218.7,132.7,181.4,86,89.9,95.6,88
022902040001,BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL,2019,02290204,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,02,ALLEGANY,42,0.976190476190476,0.0952380952380952,4,391,16417,Good Standing,4,163.1,221.4,208.3,111.9,162.6,92.5,94.2,95.2,94.9
030101060003,CHENANGO FORKS HIGH SCHOOL,2019,03010106,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,03,BROOME,42,0.904761904761905,0.0952380952380952,5,466,12178,Good Standing,4,198,227.9,223.8,153.7,192.3,97.7,98.9,99.1,100
030200010021,BINGHAMTON HIGH SCHOOL,2019,03020001,BINGHAMTON CITY SCHOOL DISTRICT,03,BROOME,133,0.902255639097744,0.112781954887218,3,1440,13464,Good Standing,2,146.6,204.4,187.2,105.2,148.2,71.4,72.3,73.2,72.3
030501040003,HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL,2019,03050104,HARPURSVILLE CENTRAL SCHOOL DISTRICT,03,BROOME,36,0.805555555555556,0.166666666666667,4,358,13766,Good Standing,4,149.3,211.6,205.8,111.6,156.2,84.2,91.6,97,93.5
030701060001,CHENANGO VALLEY HIGH SCHOOL,2019,03070106,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,03,BROOME,46,0.739130434782609,0.152173913043478,4,494,12317,Good Standing,4,200.4,232.5,213.9,160.7,193.7,92.2,93.9,96.6,93
031101060006,MAINE-ENDWELL SENIOR HIGH SCHOOL,2019,03110106,MAINE-ENDWELL CENTRAL SCHOOL DISTRICT,03,BROOME,55,0.8,0.0545454545454545,5,748,10332,Good Standing,4,200.9,231.7,223.1,175.7,200.9,94.7,95.9,97.4,95.6
031401060004,WHITNEY POINT SENIOR HIGH SCHOOL,2019,03140106,WHITNEY POINT CENTRAL SCHOOL DISTRICT,03,BROOME,38,0.921052631578947,0.105263157894737,4,391,14068,Good Standing,4,166.7,209,213.5,136.5,171.7,84.7,85.5,84.9,86.9
031501060012,UNION-ENDICOTT HIGH SCHOOL,2019,03150106,UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,03,BROOME,99,0.838383838383838,0.0909090909090909,5,1109,12460,Good Standing,4,171.8,222.3,211.7,152.4,179.8,86.6,90.8,90.6,95.1
031601060051,VESTAL SENIOR HIGH SCHOOL,2019,03160106,VESTAL CENTRAL SCHOOL DISTRICT,03,BROOME,86,0.86046511627907,0.104651162790698,5,1052,12690,Good Standing,4,217.9,233,231.5,189.9,213.3,96.7,96.6,96.8,96.3
031701060007,WINDSOR CENTRAL HIGH SCHOOL,2019,03170106,WINDSOR CENTRAL SCHOOL DISTRICT,03,BROOME,48,0.958333333333333,0.0625,5,500,15120,Good Standing,4,201.8,239.1,221,162.3,197,86.7,90.2,91.9,92
040204040001,WEST VALLEY CENTRAL SCHOOL,2019,04020404,WEST VALLEY CENTRAL SCHOOL DISTRICT,04,CATTARAUGUS,32,1.0625,0.15625,5,229,18932,Good Standing,3,203.8,233.3,229.5,124.4,186.3,90.7,90.7,90.4,90.9
040302060001,ALLEGANY-LIMESTONE HIGH SCHOOL,2019,04030206,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,04,CATTARAUGUS,56,0.946428571428571,0.107142857142857,5,658,11642,Good Standing,4,191.5,228.7,227.4,153.7,191,97.5,91.8,85.9,92
040901040002,ELLICOTTVILLE MIDDLE SCHOOL HIGH SCHOOL,2019,04090104,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,04,CATTARAUGUS,31,0.612903225806452,0,5,333,12,Good Standing,4,193.2,232.4,220.3,155.4,191,97.7,97.8,95.7,100
041401040001,HINSDALE CENTRAL SCHOOL,2019,04140104,HINSDALE CENTRAL SCHOOL DISTRICT,04,CATTARAUGUS,44,0.954545454545455,0.25,4,421,13809,Good Standing,3,186.4,223.9,210.2,103.4,168.2,81.8,83.8,83.3,86.3
042302040003,CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL,2019,04230204,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,04,CATTARAUGUS,32,0.71875,0.15625,5,291,14494,Good Standing,4,174.2,222.7,214.1,142.2,177.8,93.7,89,88.2,85.1
042400010013,OLEAN SENIOR HIGH SCHOOL,2019,04240001,OLEAN CITY SCHOOL DISTRICT,04,CATTARAUGUS,56,0.875,0.0892857142857143,3,760,15962,Good Standing,4,171.2,216.6,208.9,124.5,169.1,83.3,84,83.9,84.8
042801060006,GOWANDA HIGH SCHOOL,2019,04280106,GOWANDA CENTRAL SCHOOL DISTRICT,04,CATTARAUGUS,42,0.833333333333333,0.0714285714285714,4,350,18449,Good Standing,4,161.9,224.2,211.9,132,170,90.1,86.4,83,86.2
042901040002,PORTVILLE JUNIOR-SENIOR HIGH SCHOOL,2019,04290104,PORTVILLE CENTRAL SCHOOL DISTRICT,04,CATTARAUGUS,40,0.85,0.075,5,476,11600,Good Standing,4,179.2,227.8,214.6,147.2,181.8,90.6,94,95.8,95.5
043001040002,RANDOLPH SENIOR HIGH SCHOOL,2019,04300104,RANDOLPH CENTRAL SCHOOL DISTRICT,04,CATTARAUGUS,42,0.880952380952381,0.0476190476190476,4,392,11898,Good Standing,3,195.8,215.8,218.3,165,192.8,89.1,92.4,94.3,93.8
043200050002,SALAMANCA JUNIOR/SENIOR HIGH SCHOOL,2019,04320005,SALAMANCA CITY SCHOOL DISTRICT,04,CATTARAUGUS,51,0.92156862745098,0.156862745098039,4,407,21375,Good Standing,2,143.6,202.6,183.3,91.7,141.7,85.3,83.1,89.9,74.1
043501060006,PIONEER SENIOR HIGH SCHOOL,2019,04350106,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,04,CATTARAUGUS,69,0.91304347826087,0.0144927536231884,4,745,14249,Good Standing,4,189.6,232.2,227.6,154.4,191,92.4,90.3,91,87.6
050301040002,WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL,2019,05030104,WEEDSPORT CENTRAL SCHOOL DISTRICT,05,CAYUGA,42,0.952380952380952,0.119047619047619,5,383,16599,Good Standing,4,196.6,235.3,225.9,169.8,198.5,86.5,92.1,92.6,97.2
050401040003,CATO-MERIDIAN SENIOR HIGH SCHOOL,2019,05040104,CATO-MERIDIAN CENTRAL SCHOOL DISTRICT,05,CAYUGA,31,0.870967741935484,0.032258064516129,5,294,17820,Good Standing,4,204.2,221.7,210.8,174.2,197.6,93.1,96.2,97.1,98.5
050701040005,SOUTHERN CAYUGA  7-12 SECONDARY SCHOOL,2019,05070104,SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,05,CAYUGA,30,0.966666666666667,0.133333333333333,5,287,14134,Good Standing,4,187.9,230.3,210.6,142.4,182.5,80,87.3,91.3,90.6
051101040004,PORT BYRON SENIOR HIGH SCHOOL,2019,05110104,PORT BYRON CENTRAL SCHOOL DISTRICT,05,CAYUGA,36,0.805555555555556,0.111111111111111,5,418,13642,Good Standing,4,154.4,200,202.5,112.5,156.2,89.4,91,90.6,93.1
051301040003,MORAVIA JUNIOR-SENIOR HIGH SCHOOL,2019,05130104,MORAVIA CENTRAL SCHOOL DISTRICT,05,CAYUGA,40,0.9,0.125,5,505,14933,Good Standing,4,189.1,233.3,223.2,155.8,190.5,92.1,91.3,87,94.7
051901040005,UNION SPRINGS MIDDLE SCHOOL HIGH SCHOOL,2019,05190104,UNION SPRINGS CENTRAL SCHOOL DISTRICT,05,CAYUGA,30,0.466666666666667,0.0666666666666667,5,251,15664,Good Standing,3,173.4,208.6,205.5,153.1,177.7,93.5,93.3,91.4,95.1
060201060003,SOUTHWESTERN SENIOR HIGH SCHOOL,2019,06020106,SOUTHWESTERN CENTRAL SCHOOL DISTRICT AT JAMESTOWN,06,CHAUTAUQUA,47,0.723404255319149,0.127659574468085,5,415,14296,Good Standing,4,195.1,233.8,227.9,171.6,198.9,92.5,93.8,93.4,95.5
060301040004,FREWSBURG JUNIOR-SENIOR HIGH SCHOOL,2019,06030104,FREWSBURG CENTRAL SCHOOL DISTRICT,06,CHAUTAUQUA,34,0.941176470588235,0.147058823529412,5,383,13992,Good Standing,4,191,228.7,220.5,148.4,187.5,90.4,93.7,94.6,96.2
060503040001,CHAUTAUQUA LAKE SECONDARY SCHOOL,2019,06050304,CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,06,CHAUTAUQUA,53,0.792452830188679,0.188679245283019,5,388,13535,Good Standing,4,182.1,225.9,220.5,136.6,180.3,97.4,96.1,96.4,94.4
060601040003,PINE VALLEY CENTRAL JUNIOR-SENIOR HIGH SCHOOL,2019,06060104,PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON),06,CHAUTAUQUA,37,0.486486486486487,0.432432432432432,4,231,15498,Good Standing,2,187.3,217.2,210.4,122.4,174.1,90.2,90.7,94,87.8
060701040003,CLYMER CENTRAL SCHOOL,2019,06070104,CLYMER CENTRAL SCHOOL DISTRICT,06,CHAUTAUQUA,36,0.972222222222222,0.0555555555555556,5,464,14867,Good Standing,4,163.5,216.2,210.8,148.6,174.9,100,99.4,100,98.2
080601040003,GREENE HIGH SCHOOL,2019,08060104,GREENE CENTRAL SCHOOL DISTRICT,08,CHENANGO,29,0.793103448275862,0.0689655172413793,4,289,18491,Good Standing,3,186.1,231.9,229.9,161.8,192.8,92.8,94.3,94.4,95.7
081003040003,UNADILLA VALLEY SECONDARY SCHOOL,2019,08100304,UNADILLA VALLEY CENTRAL SCHOOL DISTRICT,08,CHENANGO,44,0.772727272727273,0.113636363636364,4,425,8799,Good Standing,4,161,204.2,207.6,172,179.8,87.8,89.2,90.2,89.7
081200050004,NORWICH HIGH SCHOOL,2019,08120005,NORWICH CITY SCHOOL DISTRICT,08,CHENANGO,48,0.854166666666667,0.125,4,516,12827,Good Standing,4,156.8,216.7,214.4,128,166.7,88,88.7,92.9,85.3
081401040001,OTSELIC VALLEY CENTRAL SCHOOL,2019,08140104,GEORGETOWN-SOUTH OTSELIC CENTRAL SCHOOL DISTRICT,08,CHENANGO,30,1.06666666666667,0.333333333333333,4,313,16146,Good Standing,1,168.8,219.8,206.3,129.2,169.6,93.5,95.5,95.3,97.7
081501040002,OXFORD ACADEMY HIGH SCHOOL,2019,08150104,OXFORD ACADEMY AND CENTRAL SCHOOL DISTRICT,08,CHENANGO,26,0.769230769230769,0.115384615384615,4,220,18975,Good Standing,4,177.1,218.8,220.8,136.5,177.9,94.4,94.9,93.7,96.6
090301060006,BEEKMANTOWN HIGH SCHOOL,2019,09030106,BEEKMANTOWN CENTRAL SCHOOL DISTRICT,09,CLINTON,55,0.836363636363636,0.0545454545454545,5,585,9368,Good Standing,4,177,224.1,212.6,129.9,174.4,85.9,88.9,93.2,87.5
090901040002,NORTHERN ADIRONDACK MIDDLE/HIGH SCHOOL,2019,09090104,NORTHERN ADIRONDACK CENTRAL SCHOOL DISTRICT,09,CLINTON,51,0.882352941176471,0.0196078431372549,4,424,20458,Good Standing,4,227.3,242.7,218.2,135.5,196.4,86.5,87.5,88.9,87.1
091200010006,PLATTSBURGH SENIOR HIGH SCHOOL,2019,09120001,PLATTSBURGH CITY SCHOOL DISTRICT,09,CLINTON,48,0.854166666666667,0.104166666666667,3,544,13015,Good Standing,1,158.4,213,209.2,112.2,160.4,86.6,85,85.3,83.2
091402060005,SARANAC HIGH SCHOOL,2019,09140206,SARANAC CENTRAL SCHOOL DISTRICT,09,CLINTON,44,0.840909090909091,0.0454545454545455,5,401,17005,Good Standing,3,167.7,220.7,207.1,160.1,179.8,93.3,94.1,93,96.1
100902040004,GERMANTOWN JUNIOR-SENIOR HIGH SCHOOL,2019,10090204,GERMANTOWN CENTRAL SCHOOL DISTRICT,10,COLUMBIA,29,0.827586206896552,0.206896551724138,5,262,16012,Good Standing,4,179.7,220.3,202.7,133.8,174,84.6,87.8,84.2,94.6
101001040002,CHATHAM HIGH SCHOOL,2019,10100104,CHATHAM CENTRAL SCHOOL DISTRICT,10,COLUMBIA,38,0.815789473684211,0.184210526315789,5,317,23284,Good Standing,4,192.1,225,220.1,145.1,186.3,92.9,91.6,89.4,92.5
101300010001,HUDSON JUNIOR/SENIOR HIGH SCHOOL,2019,10130001,HUDSON CITY SCHOOL DISTRICT,10,COLUMBIA,48,0.916666666666667,0.0416666666666667,4,486,18835,Good Standing,3,173.7,206.3,189.5,82.6,150.5,88.5,85.7,87.9,80.8
101401040005,ICHABOD CRANE SENIOR HIGH SCHOOL,2019,10140104,KINDERHOOK CENTRAL SCHOOL DISTRICT,10,COLUMBIA,58,0.741379310344828,0.120689655172414,5,528,16781,Good Standing,4,200,230.7,227.7,169.7,199.5,85.5,88.8,91.4,89.6
110200010011,CORTLAND JUNIOR-SENIOR HIGH SCHOOL,2019,11020001,CORTLAND CITY SCHOOL DISTRICT,11,CORTLAND,66,0.787878787878788,0.0909090909090909,3,705,12409,Good Standing,3,167,205,205.8,124.6,165.7,83.6,84,88,80.4
110304040002,MCGRAW SECONDARY SCHOOL,2019,11030404,MCGRAW CENTRAL SCHOOL DISTRICT,11,CORTLAND,31,1.03225806451613,0.0967741935483871,4,293,12222,Good Standing,4,152.6,214.1,220.5,132.1,167.7,93.9,95.4,95.2,97.1
110701060001,HOMER SENIOR HIGH SCHOOL,2019,11070106,HOMER CENTRAL SCHOOL DISTRICT,11,CORTLAND,53,0.943396226415094,0.0943396226415094,5,608,16122,Good Standing,4,186.1,218.9,219.5,164.6,190,94.7,94.2,94.6,93.4
110901040001,MARATHON HIGH SCHOOL,2019,11090104,MARATHON CENTRAL SCHOOL DISTRICT,11,CORTLAND,37,0.945945945945946,0.108108108108108,4,302,20037,Good Standing,4,174.4,223.3,214.4,132.2,174.7,100,95,93.7,91.4
120301040001,DOWNSVILLE CENTRAL SCHOOL,2019,12030104,DOWNSVILLE CENTRAL SCHOOL DISTRICT,12,DELAWARE,32,0.96875,0.15625,4,232,12834,Good Standing,2,187.2,220.2,214.9,150,184.6,91.3,94.1,94,97
140207060006,SWEET HOME SENIOR HIGH SCHOOL,2019,14020706,SWEET HOME CENTRAL SCHOOL DISTRICT,14,ERIE,91,0.857142857142857,0.043956043956044,5,1019,16339,Good Standing,4,202.5,234.6,215.8,168.6,197.7,91.4,92.7,94.7,91.9
140301030005,EAST AURORA HIGH SCHOOL,2019,14030103,EAST AURORA UNION FREE SCHOOL DISTRICT,14,ERIE,52,0.769230769230769,0.115384615384615,6,644,12315,Good Standing,4,232,239.1,235.4,194.4,221,96.4,98.6,100,99.4
140600010056,FREDERICK OLMSTED #156,2019,14060001,BUFFALO CITY SCHOOL DISTRICT,14,ERIE,79,0.79746835443038,0.0886075949367089,2,848,10920,Good Standing,4,207.3,235,227.7,155.3,197.6,92.5,95.2,100,93
120401040001,CHARLOTTE VALLEY SCHOOL,2019,12040104,CHARLOTTE VALLEY CENTRAL SCHOOL DISTRICT,12,DELAWARE,40,0.975,0.375,4,393,3188,Good Standing,3,171.1,207.8,211.1,108.9,163.3,73.1,81.2,76.6,93.8
120501040002,DELAWARE ACADEMY HIGH SCHOOL,2019,12050104,DELAWARE ACADEMY CENTRAL SCHOOL DISTRICT AT DELHI,12,DELAWARE,33,1.06060606060606,0.0606060606060606,5,409,12285,Good Standing,1,211.7,225.5,216,153.2,194.7,88.1,92.7,94.9,95.2
120906040002,HANCOCK JUNIOR-SENIOR HIGH SCHOOL,2019,12090604,HANCOCK CENTRAL SCHOOL DISTRICT,12,DELAWARE,31,0.838709677419355,0.129032258064516,4,211,18460,Good Standing,4,180.9,222.7,220.9,140,180.8,96.8,91.7,92.3,86
121401040001,MARGARETVILLE CENTRAL SCHOOL,2019,12140104,MARGARETVILLE CENTRAL SCHOOL DISTRICT,12,DELAWARE,39,1,0.205128205128205,4,344,3278,Good Standing,2,221.4,232.1,206,151.2,195.8,92.9,92,90.3,92.7
121502040001,ROXBURY CENTRAL SCHOOL,2019,12150204,ROXBURY CENTRAL SCHOOL DISTRICT,12,DELAWARE,37,1,0.243243243243243,5,266,10541,Good Standing,3,175.9,222.4,224.1,141.4,180.3,85.4,88.6,89.1,91.4
121701040001,STAMFORD CENTRAL SCHOOL,2019,12170104,STAMFORD CENTRAL SCHOOL DISTRICT,12,DELAWARE,29,0.96551724137931,0.241379310344828,4,281,15764,Good Standing,2,180,215.6,214.4,127.8,174.2,89.8,91.4,93.5,90.9
121702040001,SOUTH KORTRIGHT CENTRAL SCHOOL,2019,12170204,SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT,12,DELAWARE,32,1.125,0.09375,5,363,13870,Good Standing,3,189.1,228.3,218.5,154.3,188.4,98.2,98.4,97,100
130200010005,BEACON HIGH SCHOOL,2019,13020001,BEACON CITY SCHOOL DISTRICT,13,DUTCHESS,74,0.905405405405405,0.0810810810810811,5,936,15169,Good Standing,4,164.3,202.9,204.7,122,163.5,84.3,88.2,90.1,90.3
130502020003,DOVER HIGH SCHOOL,2019,13050202,DOVER UNION FREE SCHOOL DISTRICT,13,DUTCHESS,41,0.707317073170732,0.170731707317073,5,426,14863,Good Standing,3,166.1,210.9,200.6,112.6,160.9,85.7,88.2,87.6,91.4
130801060007,FRANKLIN D ROOSEVELT SENIOR HIGH SCHOOL,2019,13080106,HYDE PARK CENTRAL SCHOOL DISTRICT,13,DUTCHESS,97,0.88659793814433,0.144329896907216,5,1225,17726,Good Standing,4,184.5,213.2,210.1,147.2,180.9,83.4,85.1,84.7,87.2
131101040004,WEBUTUCK HIGH SCHOOL,2019,13110104,NORTHEAST CENTRAL SCHOOL DISTRICT,13,DUTCHESS,28,0.5,0.0714285714285714,5,203,25310,Good Standing,3,142.2,195.6,180,101.1,142.8,93,92.9,96.3,89.4
131201040002,PAWLING HIGH SCHOOL,2019,13120104,PAWLING CENTRAL SCHOOL DISTRICT,13,DUTCHESS,37,0.675675675675676,0.216216216216216,6,385,19044,Good Standing,4,184.3,223,219.7,152.2,185.8,90.3,93.6,95.7,94.7
131301040002,STISSING MOUNTAIN HIGH SCHOOL,2019,13130104,PINE PLAINS CENTRAL SCHOOL DISTRICT,13,DUTCHESS,55,0.909090909090909,0.163636363636364,5,491,15542,Good Standing,3,183.3,223.5,220.5,134.1,179.6,89,88.2,91.3,84.2
131500010010,POUGHKEEPSIE HIGH SCHOOL,2019,13150001,POUGHKEEPSIE CITY SCHOOL DISTRICT,13,DUTCHESS,107,0.747663551401869,0.327102803738318,3,1144,17843,Good Standing,2,121,178.3,161.7,81.7,123.3,56,64.1,68.9,67.4
131601060008,ARLINGTON HIGH SCHOOL,2019,13160106,ARLINGTON CENTRAL SCHOOL DISTRICT,13,DUTCHESS,192,0.958333333333333,0.0520833333333333,5,2868,13852,Good Standing,3,202.3,230.8,215.2,154,192.2,91.5,92.8,93,93.9
131801040001,RHINEBECK SENIOR HIGH SCHOOL,2019,13180104,RHINEBECK CENTRAL SCHOOL DISTRICT,13,DUTCHESS,47,0.531914893617021,0.0851063829787234,6,343,19757,Good Standing,4,220.5,230.5,234.7,181.6,211.8,95.7,96.2,94.9,98
